Comment;Column2;Column3
new normal semoga psbb bukan serasa lockdown lagi ;15;positif
harus kompaklah coba bandingkan indonesia dengan negara malaysia australia ;0;netral
alhmdlhh moga indonesia cpt yusul seprti taiwan udh bebas corona aamin ya allah moga cobaan dunia cpt slsy ;0;netral
yg anti pemerintah anti new normal inginnya indonesia terus berkutat dg kondisi darurat lockdown psbb spy ekonomi makin runtuh;1,43182E+15;positif
cukup sudah lah psbb nya udh susah tmbh susah dmpak nya hidup normal ttp jg kesehatan kmbali beraktvtas ;15;positif
kapan interview ibu siti fadillah dan pak bossman mardigu aiman;0;netral
sekolah gimn ;0;netral
udah jengahhh dirumah aja tagihan udah dobel penghasilan hilang bisa stres masyarakat bawah;0;netral
mana ada phisical distance di jalan aja masih banyak yg ngumpul ;0;netral
bentar bentar jadi gimana nih maunya ;0;netral
yang kuat akan bertahan yang lemah akan meninggal;0;netral
new normal tuh kalo masyarakatnya bisa disiplin lha kenyataannya _ ;15;positif
new normal kalo msh pandemic lebih berhati karna bisa lebih banyak orang yg tertular o m g ;15;positif
new normal new ambruk ;1,43182E+15;positif
banyakan istilah tambah pucingg masak ;0;netral
sabar habis lebaran sampai arus balik udah tidak ada bisa beraktifitas dengan pola hidup baru jangan lupa tingkatkan imunitas tubuh kita ;0;netral
masyarakat yg penting bisa jaga diri jaga jarak dan memakai masker jaga kebersihan;0;netral
ternyata masih banyak perbedaan paham tentang arti new normal yg sesungguhnya ;1,43182E+15;positif
 minggu aja diem di rumah semua rakyat indonesia dari sabang sampai merauke insya allah hilang intinya jangan ada yang kluar semoga cepat selesai ini masalahnya soalnya di kalangan desa udah pada pusing pemasukan semua kalau di buat new normal ntah lah berdo a saja semoga indonesia baik baik saja aminn ya robal alamin;1,43182E+15;positif
maskerr cuma di bawa gk di pakaiii aduhhhh susah di bilangi ;0;netral
mending karantina wilayah aja seperti vietnam yg sukses mencegah penyebaran virus corona dibandingkan new normal karena kami kangen kehidupan sebelum mengenal corona;1,43182E+15;positif
herd immunity seleksi alam ngerii;0;netral
resiko kematian karena corona lebih banyak oleh orang� yg jarang terkena matahari makany kita perlu berjemur;0;netral
ada yang naik tapi bukan harga saham ada yang meningkat tapi bukan kesadaran ;0;netral
new world order;0;netral
anda kena prank lagi boss wkwk;0;netral
tolong pak di daerah medan buat psbb ne;0;netral
bersiap new normal ataukah bersiap antara hidup atau mati ;1,43182E+15;positif
kali dengerin keterangan dari pemerintah bikin emosi bikin batal puasa aja ;0;netral
langgar aja semua kbjikan nya buat apa ikuti aturannya ga bnr yg pntg kita kmn pke masker;0;netral
saya bosan dengan istilah istilah yang selalu di perhalus;0;netral
balik lagi ke solusi awal muter� terus;0;netral
corona klo jumlah nya masih naik trus kmungkinan bakal ada pengurangan krywan dlm jumlah besar di tmpt gw krja sedangkan cicilan bank masih tahun lg anak masih kecil ;0;netral
hidup sehat;0;netral
makan yang sehat pak ngak semua orang punya uang bisa beli sehat sempurna banyak rakyat kecil hanya pakai sambal dan krupuk bagaimana tu pak;0;netral
kebanyakan istilah;0;netral
muak dgn jubir kepres;0;netral
salam akal sehat ;0;netral
virusnya tetap ada tinggal kita yg mulai sadar menjaga diri emg selama ini kita byk melakukan hal yg ga prl ga baik utk tubuh;0;netral
berarti kantor toko tempat usaha bisa buka kembali siapa yg bertanggung jawab pemprov kah diperpanjangan nya psbb s d juni di dki jakarta ;0;netral
terserah maneh weh indonesia;0;netral
menuju abnormal ce bong jingkrak an berenang dilumpur kenistaan memuakaaann ;0;netral
maksud nya new normal apa ya ga normal ya ;1,45455E+16;positif
harus ada tindakan dan hukumannya pak utk orang yg melanggar kalau hanya aturan saja sih ga mempan pak ;0;netral
new normal bakal ada awal juni katanya mulai tgl udh new normal;1,45455E+16;positif
mending diawal lockdown minggu baru psikal distansi kebalik justru uda korban bnyak baru psbb terus berganti lagi terserah pemerintah dah ;0;netral
new life biar nyambung klw new normal kagak nyambung;1,43182E+15;positif
trs apa yg baru katanya new rapat gaje dong;1,36364E+16;positif
rakyat dah d wajibkn pke masker aj da ngeyel kpn corona akn hilang ;0;netral
new normal pembiaran seleksi alam kasus baru naik tenaga medis ambruk kewalahan krn pasien overload kematian naik ujung nya bubar dah ini negara liat aja nanti klo gk percaya;15;positif
 zaman normal inget zaman dulu pasca kemerdekaan cerita dari kakek nenek sekarang ada new normal istilahnya zaman now ;1,45455E+16;positif
terserah lah;0;netral
psbb psbb tpi tetep g tegas buktinya msih ada aja yg berkeliaran cba klo psbbnya tegas ini sih psbbny setengah ada yg tegas ada yg ga tegas cape deh;0;netral
apakah kita jg sdh boleh terjun manggung dimusik menyangkut orang banyak ;0;netral
hadir;0;netral
hadeuh pemerintah;0;netral
normal aja pak gpp yg penting sering pake masker sering cuci tangan ketimbang gk bisa makan kerja juga gk bisa kami di perantau susah makan pak hilangkan psbb pak;0;netral
psbb di indonesia paling gak jelas paling bobrok paling jauh dari kata bagus pemerintah takut ekonomi anjlok tapi tak mementingkan rakyatnya;0;netral
ga jelas mau nya kemana;0;netral
aku kasihan dg pak polisi jgn sakit ya pak ;0;netral
naik motor masih lawan arus aja kok gaya gayaan mau new normal ;1,43182E+15;positif
asa lieur ;0;netral
pro kontra penerapan new normal dalam video debat berikut https youtu be a w iqyml a https youtu be qrxm ilj u https youtu be bkb lls i;1,43182E+15;positif
bnyak mulut;0;netral
astagfirullah udh tau banyak virus knp byk rakyat nggak pada sadar pakai masker masa hrs diksh tau ;0;netral
segerakanlah di buka kegiatan new normal nya uda pada stress krisis berat susah biaya hidup sakit blm tentu kalo kelaparan ya tentu mati;1,43182E+15;positif
sakarepmu asal jgn dibikin ribet lg ;0;netral
rajia corona makasih corona ;0;netral
yg penting tetap jaga kesehatan dgn cara minum jamu sehat vitamin propolis madu hidup sehat tdk keluar rmh bila tdk penting makan yg sehat minum yg sehat klo keluar rmh sering pakai masker bawa hand sanitizer hindari keramaian;0;netral
gombal sekarang sja masih parah kok normal apanya kita lihat aja nanti buktinya gmn omong mencla mencle dulu bilang indonesia gk akan kena virus buktinya;15;positif
alhamdulilah terimakadih ya allah ya robb alhamdulilah amiiin;0;netral
terserah;0;netral
terserah;0;netral
kebanyakan yg meniggal itu yg memiliki penyakit lain terus terifeksi corona sehingga dokter fokus ngobatin corona nya aja engga ngobatin penyakit yg lain nya yg ada di tubuh pasien ;0;netral
terserah kau saja lah;0;netral
psbb di perlonggar koment di perpnjang comnt hadeh hyang na naon atuh nya ;0;netral
pemda sama pusat ga singkron beraktifitas seperti biasa tapi harus pake masker dan tetap jaga jarakk itu bakal terjadi setelah lebaran ga mungkin suruh diem dirumah teruss ;0;netral
pemda sama pusat ga singkron beraktifitas seperti biasa tapi harus pake masker dan tetap jaga jarakk itu bakal terjadi setelah lebaran ga mungkin suruh diem dirumah teruss ;0;netral
ok lah;0;netral
plinplan nya indonesiaku;0;netral
terserah;0;netral
jangan terlalu banyak teori terima kenyataan yang ada kalau pengen proyeknya jalan ya buka aja jangan membuat istilah yang membuat masyarakat resah aneh masalah medis yang ngomong menteri non medis;0;netral
rakyatnya masih banyak yang miskin terbukti banyak yang menerima bansos sembako kebutuhan paling mendasar manusia berupa beras mie instant sarden dll makanan darurat nggak bergizi;0;netral
new normal itu aktifitas kembali normal klu covid nya sih dah normal dari dulu msh berlangsung normal kok covid nya ;15;positif
saya dukung pemerintah new normal kembali kehidupan normal walaupun corona msh ada kebijakan yang bagus ;1,45455E+16;positif
yang ada mkin bobrok;0;netral
suruh makan bergizi gimana penghasilan aja ga ada;0;netral
gak sekalian new world order;1,36364E+16;positif
nara sumbernya ga jelas ;0;netral
elite global conspiracy;0;netral
ringkasan new normal adaptasi dengan pola hidup dan sistem yang baru bukan kembali ke pola hidup lama selama pandemi corona belum ada kelonggaran psbb jangan disalah artikan new normal ;1,43182E+15;positif
otg itu bpk imunitas org yg kuat jadi semua omong kosong tetap tidak ada cara sudalah stop cara bohong juga dr dan pakar bilang org mati covid virus ikut mati ini tak ada bukti jls org juga tertular yg jelas semua sedunia ini omong besar stoplah ;0;netral
indonesia buruan sadar untuk media jangan menebar kepanikan dibalik semua ini ada negara adidaya yg menyetir negara;0;netral
gebleg dah di phk dah ngutang banyak baru sekarang di new normal padahal angka msh naik terus ;1,43182E+15;positif
salah satu staf presiden yang saya harap bisa di rehatkan ya orang ini jadi jubir presiden tidak menarik sama sekali dan kata katanya sering blunder yang pasti tatkala berkata berbelit belit dengan intonasi aneh sehingga susah di pahami ;0;netral
gencatan perang dengan corona;0;netral
gk longgar ko cuman rapet ;0;netral
terserah;0;netral
back to normal;15;positif
gw kesini gara gara tugas;0;netral
idi tdk murni opini nya selalu tdk subyektif bahkan idi tdk independent banyak yg menunggagi banyak yg cari panggung siapapun pemerintahnya di negara mnpun menghadapi covid pasti gamang cendrung beruba ubah kebijakanya krn ini berkaitan dh nyawa manusia dg kelumpuhan ekonomi dan rawan kerusuhan kelaparan ingat tdk ada negara yg punya pengalaman dh covid ini jd wajar pemeintah klo kebijakanya gamang tp kita liat niat tulus dr presiden mentri gubernur wali bupati dan semua aparat medis jg relawan yg sdh bekerja tdk sedikit yg gugur dr masyrakat hingga medis jgn mudah nyinyir tanpa berbuat apa apa lebih baik diam dan patuhi jgn paranoid tp jgn jumawa ttp waspada dan disiplin ;0;netral
jangan bilang virus drama china yg d sponsori media jokowi mulai tak berguna kita gak usah panik in adalah trik china semua bisa berantakan begini;-125;negatif
bersiap k cases per hari ;0;netral
iya maannnn iyaaa;0;netral
pokok sekolah harus libur;0;netral
coba pasar selain menjual sembako di tutup aja orang tdk punya kesadaran beli baju mau lebaran padahal bertamu aja gak bisa bodoh aja orang mau terima tamu di saat corona pemerintah gak tegas kapan stop penularan kalau masih dempet an bgtu;0;netral
lo enk gomong blng mkn yg be gzi org gkda uang gmna mkn ya gaciro gaciro;0;netral
si jokowow ngomong laen jubir nya ngomong laen yg benar yg mane woy pemimpin yg terhormat ;1,33929E+16;positif
terserah;0;netral
sudah lah sudaaaah kami sudah bosan dngan semua ini;-4;negatif
mari berbenah diri tidak usah tengok kanan kiri biarkan saja jika ada yg masih begini begitu yg penting disiplin dan jaga diri sesuai protokol kesehatan kalau mendengar pendapat orang orang hebat dan pintar pintar tambah pusing ni kepala yang penting diri dan keluarga sehat yg lain mau apa terserah ;3,15741E+15;positif
contoh jawa tengah nurut jd corina bisa diredam;0;netral
aiman klo orang ngomong jagan ngebacot mulu motong mulu;-5;negatif
terserah;0;netral
kakean teori;0;netral
duh duh punya pemerintah plin plan bilang new normal tapi boong wkwkwkwk;4,65909E+16;positif
welcome to new world order terimakasih pak jokowi semua berkat anda ;1,36364E+16;positif
kami orang kere tidak kenal dengan nama new normal new world order tatanan kehidupan baru yang kami kenal adalah kerja dan mendapatkan penghasilan istilah new normal buat anda anda saja yang selalu memojokkan kami bahwa kami ini masyarakat bandel;1,41818E+15;positif
what psbb ;0;netral
jadi intinya belum ada rencana untuk melonggarkan psbb tidak ada plan untuk herd immunity kenapa gk dikonfirmasi dari dulu gara gara itu beberapa perusahaan udah ada plan untuk mulai masuk kantor di bulan juni nanti kalau ada perusahaan yg gk nonton acara ini trus gmana ;-225;negatif
sudahlah ini saat nya kita berdamai dengan corona karena virus juga mahluk ciptaan tuhan maka sayangilah corona seperti kalian menyayangi kedua orang tua kalian ;0;netral
apa itu new normal;1,43182E+15;positif
new normal maksudnya herd imunity prinsipnya itu sama kayaknya pemerintah meniru gaya swedia dan jerman tapi menurut pemerintah now normal itu beda dg herd imunity padahal itu sama memberlakukan psbb gagal beralih ke opsi herd imunity ini jika suatu negara menerapkan keduanya yakni herd immunity dan new normal maka akan menimbulkan beberapa dampak bagi masyarakat menambah jumlah korban terinfeksi corona karena pelonggaran gerak masyarakat beraktifitas tidak melakukan jarak fisik ;-1,0322E+18;negatif
klo yg terinfeksi masih bertambah saya rasa jauh dari yg namanya normal trus gimna cara hidup sehat dan bisa mkn mknan yg bergizi buat kami yg udah hampir bulan diem di rumah dan sudah tidak dapat penghasilan lagi karena udah ga kerja gimna coba kami turuti pemerintah tentang psbb meski kami susah bansos di tempat kami yg dapet mlh orang orang mampu ;15;positif
hahahahhahahhaaa cuma pengen ketawa saja;0;netral
aiman aiman kmaha ath maneh teh;0;netral
s a k a;0;netral
gmn mau mkn sehan uang aj g ada orang bnyak uang mah enk enk aj gmn ky ak nasib ny suami ny g ada pengahasil ank ank ny masih kecil kecil pak ratab nasib ;0;netral
kehidupan baru keuangan baru;6,81818E+15;positif
rowettttttt rowetttttttt rowetttttttttttttttt mudik vs balik kampung;0;netral
judule dompet kering new boke ;3,48485E+15;positif
harusnya di bulan april new normal di uji coba bos;1,43182E+15;positif
yang dipikir orang cerdas seberapa lama bertahannya kebijakan psbb kita tahu kebijakan psbb dilapangan perlahan menggrogoti perekonomian dan ketidakmauan masyarakat ikut andil di dalam kebijakan tsb;5,47619E+15;positif
alhamdulillah;0;netral
 new normal dengan yang sangat minimnya tingkat kesadaran disiplinnya masyarakat negeri ini kita lihat dan saksikan dengan seksama apa yang akan terjadi kedepannya setelah pemerintah pusat menerapkan peraturan new normal semoga sukses dan good luck ;2,13295E+15;positif
seleksi alam yg kuat akan selamat yg lemah akan mati digigit corona ;0;netral
new normal karena pemerintah sudah tidak mampu mengatasi corona dan pelemahan ekonomi ;-15;negatif
new normal hi ;15;positif
new norrmal abnormal every body has kungflu fightin it sneze as fast as coughing lol;3,83333E+15;positif
mas fajrul itu dulu aktifis sekarang jadi apa yah ;0;netral
semoga korona cepat hilang dan segera pulih kembali;0;netral
sayang nya pemuda ind nesia g bl k ngak ngikuti pr t k l kesehatan dan naik kendaraan udah ngak pakai helm ngak pakai masker ;0;netral
apakah new normal akan menjadi herd immunity terselubung ;1,43182E+15;positif
corona semakin hari bertambah normal gundul mu;3,83333E+15;positif
bener gak ada ketegasan apapun dari pm yg bgini yg bgitu yg begono yg begene ada aj acaranya mbogya sekali kerja itu jepret langsung membuahkan hasil dulu covid blum masuk indo santay nagara manapun diperbolehkan masuk yg positif masih orang tetep santuy tanpa ad penanganan yg serius gk ad tindakan karantina wilayah karantina hari bagi siapapun yg dcurigai berbaur dgn yg sdah positif covid skrang yg positif dah banyak tetep plin plan padahal klau mau karantina wilayah bulan puasa in pm sngat dbantu dmna mayoritas semua warga indo mnjalankan puasa jdi klau pembagian sembako sampai minggu gk bakal ngabisin biaya besar iri gua am vietnam india aj bisa knapa indo masih gini amat ruwet ruwet ruweet;7,25895E+15;positif
berharap masyarakat sadar patuhi peraturan pemerintah biar bisa cpt selesai terkendali negara lain ajj gk sampai hampir bulan lebih udh bisa normal indonesia pasti bisa kecuali klau pemerintah gk tegas cuma di mulut ajj sama ajj bohong;8,15476E+15;positif
terlalu berbelit belit rakyat jadi bingung ternyata ruwet ruwet ruwetttt salam pak fadroel ;0;netral
bukannya meremehkan corona tapi tak perlu phobia sekaligus juga tidak sembrono apalagi bersombong sombong ria sudah bukan waktunya buat gontok gontokan atau pro kontra yang jauh lebih meletihkan dan meresahkan masyarakat pergerakan cari nafkah dibatasi lagi ekonomi terpuruk lagi apalagi jika pakai syarat administrasi birokrasi dan administrasi kesehatan yang berimbas pada pengeluaran masyarakat yang sudah zero penghasilan new normal adalah alternatif pilihan yang dirasa sudah paling bijak dan baik saat ini dengan tetap jaga kesehatan oleh warga pakai masker maksimal dalam menjaga jarak hindari kontak fisik rajin mandi gosok gigi dan cuci tangan ;1,43182E+15;positif
tunduh euyy jadi hayang molor aing ;0;netral
new normal pasient ny yg artiny pasient pdb peningkatanny msh sama ;75;positif
tergantung menyikapinya aja klo buat gw bukan baru satu hari di suruh diem di rumah jaga jarak bahkan penghasilan pun punah bulan lebih sudah gw dah mulai muak mau sampai kapan masa gw harus maling carana corona cuma denger di tv doang tuh pada mati kenyataan blm denger gw satu desa orang hari mati kena covid utak atik aja terus lama orang berontak makanya di pasar rame di mana mulai rame itu bentuk dari kemuakan orang yg dah muak dengan semua ini sekarang gk ada lg takut sama covid klo buat gw gw takut klo peraturan bgini terus;-26;negatif
new normal apa lagi nih terserah kau saja lah saya lagi menunggu sahur sayang puasa bolong karena congor kau yang berbuih itu ;325;positif
faktanya new normal hanya membuka gerbang untuk china masuk kembali ke indonesia saya berani mengatakan hal ini karena itulah yang saya lihat dutempat kerja saya pt imip morowali kami yang ingin cuti pulang kampung terpaksa cuti ditempat karena sudah aturannya sedangkan china yang cuti pulang ke china sebelum adanya covid baru ini sudah kembali ke indonesia dan mulai kerja kenapa kami yang notabene a pribumi tidak bisa pulang kampung sedangkan mereka yang tamu diluaskan untuk keluar masuk ;-1,02273E+17;negatif
enyong nang batam wis setengah tahun ninggal anak istri pingin balik pingin nggendong anak;-1,83333E+16;negatif
sudahnya saat indonesia bubar mendekat biarin aja tiap daerah menjadi negara soalnya negara kecil itu warganya lebih aman liat aja taiwan malaysia dan korsel;-25;negatif
makanan bergizi seperti apa karena yang mau di makan cm seadanya bagaimana olah raga setelah olahraga tidak di imbangi dengan sayur mayur buah daging dan susu untuk mempertahankan semua itu tidak bisa sumbangan sumbangan yang di berikan tidak sebanding ini mau lebaran bantuan pun gak jadi datang di undur sampai tgl ;0;netral
media adalah ;0;netral
new world order;0;netral
sakkarepmu;0;netral
sadar kesehatan sadar kebersihan yang paling penting sadar keimanan pintar pintar diri sendiri aja lah yah kalo hidupnya asal asalan tanggung sendiri resikonya lu mau sehat ya prilaku harus benar terserah aja lah yg ngatur hidupmu ya kamu sendiri intinya kembali pada diri sendiri gak usah nyalahin orang lain kalo diri kita aja blm tentu benar benarin diri sendiri dlu baru benerin orang lain ;0;netral
otw pindah negara;0;netral
new normal heh ;15;positif
new normal di jajah sama corona;75;positif
enak saja omong harus makan yg bergizi rakyat miskin gak kuat makan yg bergizi pejabat dan para anggota dpr yg terhormat mikir lah rakyat kecil yg belom ratatouille bisa makan;3,75E+15;positif
ada yg ngeh ga sih tadi dibilang herd immunity atau keceplosan itu ya apa yg terjadi jika herd immunity diterapkan seleksi alam akan muncul disitu dan korbannya kemungkinan banyak secara tidak sadar bandara dibuka apakah itu bagian dari herd immunity herd immunity vs economy pemerintah pasti bijak tapi yg penting bersiap jika kemungkinan terburuk terjadi jaga kesehatan dan daya tahan tubuh masing smoga vaksin cepat ditemukan ;6,66667E+15;positif
indonesia menuju new normal ngakak anjirr bahasanya siapa coba dipake goblokin aja terus rakyatnya new world order kali ;-1,94318E+15;negatif
seharusnya tak ada istilah new normal buat apa pengurangan ikut negara lain kalo kita indonesia ini bertambah trus kasus covidnya seharudnya rencana itu hanya sebatas istana saja karena mungkin masyarakat ada yg menggapbya sebagai pelonggaran psbb;1,7987E+16;positif
new normal paling aman pulkan berkebun bertani n jd nelayan klu di kota gumana mau psbb org nya kyk semut ;15;positif
kami marga masyarakat meminta untuk dibuka kembali rumah ibadah dinormalkan kembali jangan hanya ekonomi aja kita umat beragama jangan menutup tempat beradu umat ditutup ;-1,33333E+16;negatif
mungkin ada bisnis besar yg harus dijalankan segera makanya dibuat kebijakan untuk mensuportnya ;0;netral
minum jamu danjeruk panas;25;positif
alhamdullilah;0;netral
kukira new world order;1,36364E+16;positif
contohi malaysia mereka juga hidup berdamai dgn corona norma baru tp sop kesehatan yg mereka terapkan oleh kerajaanya sgt sgt ketat sehingga berhasil menekan angka jangkitan virus serta angka kematian mereka berhasil menurun sgt drastis indonesia ;0;netral
du du du duuri dam dam duri daamm duri dam duri dam dam km makanyaa apa tempe sy juga sama tempee okeee ;0;netral
para awak media sampai saat ini apakah ada yang terinfeksi virus corona ;1;positif
para normal kaliii astagfirullah ini rezim ya allah ;15;positif
new normal tuing tuing tuing mikir;15;positif
jrul jrul jrul;0;netral
percuma indonesia berprinsip musyawarah untuk mencapai mufakat jika sebagian warganya tidak ada yang disiplin siapa yang bikin masalah tapi siapa yang jadi kena covid ;-5;negatif
gimana caranya pasti ada konsekuensi dari new normal contoh punahnya manusia yang ngegampangin korona;1,43182E+15;positif
sumpah penjelasan jubir nya muluk muluk banget sih bukan makna herd immunity sesungguhnya mending bapak yang botak ;1,29167E+16;positif
paling mudah menyalahkan jokowi tp menjaga diri utk menjalankan social distancing saja susahnya minta ampun ;-1,29167E+16;negatif
mantap new normal yg miskin terserah mau bekerja mencari nafkah dgn tetap memperhatikan protokol kesehatan dan yg kaya n banyak tabungan terserah mau ngumpet dirumah klo jakarta ora urus mau lock down kek jungkir balik kek emang gp toh gak bisa jga dijadikan sbg panutan amburadul ;4,36027E+15;positif
new normal keadaan skrg kayaknya tidak ada new normal karna who sndri mengatakan akan ada virus corona selamannya cuma tergantung protokol kesehatan masing pribadi ajah karna pemerintah sudah menyerah dengan menyuruh berdamai berkompromi dengan corona;3,0303E+14;positif
pembenci jokowi sepertinya tdk rela corona segera berlalu krn corona dimanfaatkan utk menjatuhkan pak jokow semoga kita terhindarkan dari sifat demikian ;4,72222E+16;positif
puter aja terus pa juru bicara googling deh herd imunity kok kurang pinter jelasin berbelit gitu aneh bener artinya pemerintah gagal udah close case ga usah muter ngejelasinya;-1,91429E+16;negatif
udah lah pls urusin dulu kebijakan nya jangan musingin kita ini hidup cuma permainan tapi jangan di main main kan kalo mati gak bisa hidup lagi skrng malah ada new normal emang sudah siap sehari bisa nambah lebih kalo new normal;1,5101E+16;positif
 be yourself and never surrender jess only one youtuber good luck jess jess is the best ;5,66667E+15;positif
orang indonesia hidup new normal setelah pandemi kami yang di taiwan setiap hari hidup seperti itu jauh sebelum ada virus apapun sekarang taiwan sudah hari berturut turut nol kasus covid ;1,01818E+15;positif
jaga allah maka allah jaga kita dan apapun yg terjadi di dunia ini atas kehendak allah bismillahirrahmanirrahim jangan lupa untuk mendekatkan diri kepadanya allah islam juga tuhan kalian masing� ;0;netral
tim medis aja banyak yg tumbang mikir gk sih pola hidup mereka gimana kita yg pola hidup masih di bawah standar;0;netral
banyak banyak berdoa jauhi maksiat dan kesyirikan virus ini dari allah kalo allah berkehendak hilang manusia bisa apa kita hanya bisa ikhtiar dan berdoa kenapa percaya sama who percayalah sama allah manusia ndak boleh putus asa dari rahmat allah subhanallahu wata ala;6,66667E+15;positif
hidup new normal artinya hidup di alam yang baru yaitu alam barzah atau alam kubur dan kini kita disuruh cepat atau lambat harus hidup di alam baru alam kubur oleh karena itu kita siapkan bekal akhirat dialam kubur yaitu kita setiap hari jangan lupa baca quran surat al mulk menjelang tidur selesai sholat isya ;1,15909E+15;positif
yg tua dirumah aja sulit bray banyak manula yg harus mandiri bekerja untuk makan sehari�;2;positif
pemerintah sudah menyerah ;0;netral
pemerintah hrs meniru cara negara yg berhasil meredam covid contoh korsel warga disana dapet notifikasi di hp jika ada orang sekitarnya yg positif trus di kasih tau orang itu udah kemana aja berbaur dgn siapa aja inggris juga mengembangkan teknologi serupa kan mereka udah mau buka juga ;8,18182E+15;positif
corona tidak akan pernah menang melawan perekonomian perekonomian adalah kebutuhan yg paling mendasar bagi kehidupan manusia;25;positif
kalo harus hidup berdampingan berarti bakalan tetap ada yang positif dan juga meninggal karena covid walau tidak signifikan seperti awal pandemi kan virus nya tidak bisa musnah kata who yg penting jaga kesehatan dan kebersihan aja;5,87121E+16;positif
jika begini tidak mustahil warga indonesia bakal dihalang masuk ke negara yg udah berjaya melawan corona negara tersebut pasti bimbang kalau ada warga indonesia yg membawa masuk semula virus corona ke negara itu ;0;netral
indonesia terserah ;0;netral
yang kita butuhkan saat ini adalah keajaiban dari tuhan jadi berdoalah niscaya di dunia ini tidak ada yang tidak mungkin bagi kita semua;0;netral
virus memang gak hilang tp tolong hilangkan berita tentang corona di berita dan media dgn bgt manusia akan terbiasa dan tdk takut dan panik sp tau aj tuhan menghilangkan covid dari muka bumi ini amin;-6;negatif
smua kmbali ke diri sendiri kl virus ini dianggap tdk bisa hilang yah mnusianya aza yg hrs bersih jg kesehatan minum vitamin olah raga ikuti protokol kesehatan sm spt flu kita hrs bgmn dan spt apa krn flu jg tdk ada vaksinnya smp saat ini ;1,83333E+16;positif
taiwan lbh aman dan nyaman karena masyarakat bersatu saling menjaga kebersihan dan taat sma peraturan beda sama super ngeyel super banyak ini itulah;35;positif
saya bekerja di korea syarat untuk bisa hidup normal dg covid adalah kemampuan test swab harus realtime atau minimal hari bisa keluar hasilnya di korea kehidupan sudah kembali normal walaupun cluster penyebaran baru selalu ada tp bisa cepat diatasi karena kemampuan testing yg cepat kalau mau kmbali hidup normal tp kemampuan testing masih rendah sperti di indonesia percayalah itu akan mnjadi musibah bahkan akan lebih buruk dri us;8,75E+15;positif
kalo begini lebih baik cabut semua peraturan yg ada gak usah mikirin rakyat ;5;positif
udah mending gitu aja;5;positif
artinya gak perlu psbb gak perlu larangan ini itu cukup pola hidup sehat dan sesuai protokol apa iya ;5;positif
pemerintah sudah kalah rakyat jadi tumbal;0;netral
new normal welcome to new world new life order tatanan kehidupan baru beralihnya penggunaan uang kartal menjadi uang digital sebagai alat transaksi sehingga uang kartal kemudian lama lama ditiadakan kebiasaan berbelanja berangsur angsur berubah toko toko fisik offline mau tidak mau harus mulai beralih ke toko online dan sebagian orang menutup tokonya karena tidak bisa beradaptasi selain itu toko toko online menjadi tempat mangkal ojek ojek online ;1,08409E+16;positif
hiduplah dg baik baik dg alam sekitar maka hidup akan baik pula alloh maha segalanya hanya manusia yg kurang bersyukur terhadapnya ;0;netral
untuk indonesia terlebih dipelosok tidak ada istilah new normal sejak ada pandemi tetep normal normal saja aktivitas sampe sekarang mereka bilang corona big bullshit and i like it ;3,0303E+14;positif
biarpun bandara international udah dibuka mau jalan jalan pulang ke jakarta jadi takut juga ;-2;negatif
semoga yg ngeyel bisa tersemogakan amin ;-8;negatif
new normal ya terserah kalian saja mau bagaimana pertanyaan saya apakah kalian yakin ;325;positif
gw yakin semenjak mulai covid perusahaan lipstik mungkin bangkrut v y you know la ;5;positif
tuul disemua negara akan berbeda dg sblm covid ;0;netral
kmi sudah mulakan seminggu di mlysia ;0;netral
gaya fashion pkai masker kayaknya lipstik merah menggoda ngk laku lagi ni ;0;netral
 thn baru hilang rusia lokd jd kedua;0;netral
pindah ke bulan aja sekalian untuk merealisasikan new normal ini;1,43182E+15;positif
indonesia terserah xd;0;netral
kagak mau sy berdamai di japan berangsur hilang ;0;netral
kalau pemerintah berfikir bgini tim medis paling kasian mcm ngak ada apa sumbangannya;-1;negatif
yg heran ini yg ngasih saran bukan pakar tapi lembaga survey ;1;positif
kebanyakan istilah yang meninggal terus;0;netral
sudah ada deal dengan yg punya virus kah ;0;netral
who jadi imamnya;0;netral
penyebab sulitnya penceghan covid adalah ketakutan yg disebar media terus menerus;0;netral
semoga semuanya bisa cepat teratasi amin;0;netral
takut jgn waspada tetap ada harus jaga kesehatan sisanya tetap berusaha produktif karena kebutuhan hidup dan juga memenuhi gaya hidup ;0;netral
bukan nya lesu payah ;0;netral
kapan bisa kuliah lagi dirumah aja bikin kami mahasiswa jadi manja kami tak ingin jadi wisudawan manjaa mau jadi apa kami nantinya kalau manja begini ;0;netral
makin horor tinggal di indonesia ga ada corona aja horor dimana mana ;5;positif
new normal dgn vc berdamai ya nyawa taruhan nya pakai sj ;15;positif
optimis hancurkan generasi terserah;-2;negatif
psbb udah gak efektif bos makin lama dong ampe normal;-1,75E+16;negatif
yasudaah gini aja tapi tetap protokol kesehatan harus diutamakan ;0;netral
new normal hahhaha mau mati ya coronanya kan parah emang mau berdamai ngeri liat keramaian kayak gini maap ni takutnya ratusan kena fakta;-1,83333E+16;negatif
oh tidak jd kita nggk blh sentuh an sesama bgtu pak ya jd kita nggk blh berdekatan;-125;negatif
rakyat indonesia santuy ;0;netral
