Comment,POS,NET,NEG
new normal hahhaha mau mati ya coronanya kan parah emang mau berdamai ngeri liat keramaian kayak gini maap ni takutnya ratusan kena fakta,0,0,1
oh tidak jd kita nggk blh sentuh an sesama bgtu pak ya jd kita nggk blh berdekatan,1,0,0
rakyat indonesia santuy ,0,1,0
alhamdulilah saya masih normal dari kmren tinggal nunggu tetangga pada normal baik dirmh mau pun dikantor sehatnya kudu ditingkatkan dari jarang cuci tangan bro klo abis pegang kaki ya sekarang lbh sering ngupil ya banyak cuci tangan baca komen tulis komentar ya terserah lah wong pake tangan saya ,0,0,1
who bukan tuhan takdir tidak ada yg tahuu chuaakkzzzz,0,1,0
terserah lo lo pade dah hahaha,0,1,0
yg sulit berubah itu biasanya yg usia lanjut suka ngeyel,0,1,0
di mana mana kurva nya landai dulu baru new normal ini nyampe puncak juga belum,0,0,1
cara hidup yg baru piye carane ,1,0,0
inilah yg disebut tatanan dunia baru seperti kata sekjend rangga sasana dulu ,0,1,0
strategi militer nya kalah dong kalah perang nih,0,1,0
hehehe kebijakan atas dasar putus asa,0,1,0
masih gk percaya klo ada teori konspirasi terserah,0,1,0
komen pertama,0,1,0
bagus aja sih soalnya tempat hiburan malam bakal sepi setidaknya berkuranglah kegiatan maksiat ,0,1,0
up bantu sher ,0,1,0
herd immunity hukum rimba,0,1,0
ini yang namanya optimis tapi boong karna pesimis ternyata ga ada usaha menemukan anti virus atau vaksinnya kayak ga ada solusi,0,1,0
kita yg sehat jaga kondisi tubuh karna covid bisa sembuh sendiri sebenernya bagi yg punya penyakit jantung diabetes dll mesti bener jaga kebersihan pake masker kemana inshaallah ekonomi muter lagi kelamaan begini jangankan buruh karyawan pengusaha bisa gulung tikar,0,1,0
hidup new normal itu hidup seperti ninja hatori kemana pake masker knpa gk hidup seperti hantu pocong aja biar stiap hari kita jln loncat je wong edan punya ide gk pake otak bikin aturan subhanallah ,1,0,0
berdoa dan berusaha aja biar virus ini bisa hilang karena kita tidak akan tahu kedepannya seperti apa hanya tuhan yang tahu,1,0,0
who berkapasitas dunia sudah mengumkan kita tetap berdampingan dengan penyakit itu artinya kita harus lebih menjaga kebersihan ,1,0,0
bumi ud gk layak utk t tinggal ,0,0,1
who new normal new normal dan kita manut saja ,1,0,0
virus covid pasti hilang pasti ,0,1,0
kenapa pemerintah bilang begitu karena sudah lelah dengan rakyat nantinya demo terus bikin negara bisa puyeng yang tidak mau nurut ya tinggal bungkus saja ,1,0,0
saat masih psbb aja an yg kena perhari nya apalagi new normal udh jalan hmmm ,0,0,1
pake masker seumur hidup ,0,1,0
what penyebaran menurun ,0,0,1
masih bisa senyum loh dia,0,1,0
abis itu new world order,0,0,1
gk urusan,0,1,0
damai apaan ,0,1,0
cari aman masing ,1,0,0
berarti cabut psbb di seluruh kota dan kab serta propinsi di indonesia,0,0,1
terserah lah,0,1,0
negara indonesia belum bisa menjalan kan hidup new normal krn karateristik org indonesia masih kuat dengan kemalasan n ngeyel n tidak jujur bila pny penyakit liat aja ,1,0,0
aku memang sdh dari sanax tdk suka keramaian dan kerumunan org banyak tp klo dikerumunin cewek aku suka,0,1,0
bs hlg tegal kagak ada vc japan okinama jg kagak ada ,0,1,0
protokol sehat gimana pak sedangkan dalam kondisi darurat aja disepelekan,0,1,0
indonesia new normal ngimpiii ,0,0,1
gaya hidup new normal psbb nya longgar tetap pake sarung tangan jangan berkerumun cuci tangan masker juga untk normal seperti dulu lagi tunggu ada pernyataan dari who gituuuuuuuuu ya ,0,0,1
harusnya dr awal corona yak kenapa baru sekarang serasa di prank dah berminggu dirumah aja kecewa cok ,0,1,0
klo new normal trus kmrn pssb buat ap hey ,0,0,1
dah bisa ditebak,0,1,0
ya kalau virus gak hilang jangan di diamin terus tapi harus bisa membuat vaksin untuk virus itu ,1,0,0
new normal new world order apa ini kebetulan tentu tidak bos darling hebat,0,0,1
terserahhh bambang,0,1,0
orak mudeng,0,1,0
bodo amat,0,0,1
trus knpa psbb ga di hilangkan saja,0,0,1
indonesia amerika bandel bandel dah bebasin aja percuma psbb ,0,0,1
kemarin kita harus lawan kok sekarang malah jadi kompromi dengan korona gak jelas ini pemerintah kasihan para tenaga medis yg sudah bekerja dengan keras ini mencerminkan pemerintah kita tidak tegas ,0,0,1
mana mungkin beraktivitas seperti biasa tp harus jaga jarak saya yakin g akan bisa kalo menurut saya hidup seperti biasa pada umum a tanpa batasan toh saya yakin corona ini sama seperti hiv aids yg tak terlihat penyakit a tp ada d sekitar kita ,1,0,0
udah kaya kimat ajah,0,0,1
normal gimana coronaa masih banyak gak ada bantuan juga sedih negeriku,0,0,1
rasanya ini semua pasrah tergantung usia yang di berikan tuhan wes brarti buka usaha dan tempat kerja normal lagi brarti boleh jalan ke tempat wisata juga ,0,0,1
pemerintah mulai frustrasi,1,0,0
gak ponya modal ya percaya sama who trump aja ga percya,0,0,1
seleksi alam ,0,1,0
mudah an corona nya mau diajak damai,0,1,0
new normal trus kalau otg yg usia kbawah pulang ke rumah ortu nya bisa kena tanpa sebab gimana tong ,0,1,0
new normal bahasa yg sangat asing oleh sebahagian masyarakat akan lbh elok pake bahasa disiplin tinggi dlm segala hal karena kunci utama nya pd sikap dan prilaku masyarakat yg harus segera di rubah secara frontal ,1,0,0
pemerintah gagal paham,0,0,1
ya sudah sekarang berdamai sm corona toh diam dirumah aja gak produktif,0,0,1
normal gimana lagi aku ja dah di phk gara korona ,0,1,0
indonesia siap menyusul italy dan spanyol ,0,1,0
ya bener gtu yg tua dan rentan krna punya penyakit kronis yg suruh tetap di rmh aja yg sehat dan dibawah taun go on beraktifitas dengan protokol menghindari virus pake makser dsb,1,0,0
new normal tatanan kehidupan baru bahasanya mirip new world order ma tatanan dunia baru hhhhh ,0,0,1
ayena ngomong iye isukan ngmong kitu ,0,0,1
asyaaaaaaaaaap bosque ,0,1,0
kontributornya namanya berbau jepang yah hehe,0,0,1
wwwkkww wkwkwk bakol pentol bakol bakso soto mie gorengan,0,1,0
covid covid lah pusing intinya mau d pasang vaksin cip sama si bil gates noh liat d lcs masalah yg ngeri ,0,1,0
suka ga suka mau ga mau terima ga terima inilah kenyataan realita virus ga bakal hilang sama seperti awal virus tbc hiv flu dll apa mau lockdon seumur hidup kan gila apa mau nunggu pabrik toko perusahaan pada hancur ,0,1,0
 payah ,0,0,1
ya alloh ternyata blm di pgar kaca y terbuka gitu rawan celaka bhya jg naik kreta petugas y kurngby scurty ya alloh murah y umur orng indo,1,0,0
bodo amat,0,0,1
new normal akibat ketidak seriusan dan kegagapan pemerintah di awal mrebaknya corona,1,0,0
sepatutnya gayahidup abnormal ,0,1,0
bodo amat,0,0,1
ya allah gimana posisi aku yg ada di luar negri aku udah pgn pulang ke indonesia pgn ketemu ama keluarga aku kira pulang di undur nunggu hilang nya virus corona,0,1,0
new normal jaga jarak tapi di kereta saling tumpuk ckckckck,1,0,0
alhamdulillah berkah ramadhan corona berangsur reda,1,0,0
yg buat lesu ekonomi siapa,0,1,0
virus nya menyerang hingga menewaskan jiwa letak komprominya dimana ,0,1,0
generasi corona bgaya hidup new normal tiap hari pake baju hazmat apd masker n n medical face shield rajin cuci tangan pake hand sanitizer rajin nyemprot disinfectant rajin mandi cuci baju jaga jarak min meter fasih kerja dan belanja online rajin ikut rapid test ,1,0,0
dan akhirnya negara menyerah dan memilih berdampingan apa yg sebenarnya terjadi jelaskan kepada masyarakat supaya bisa mewaspadai corona ini ,0,1,0
perketat protokol kesehatan virus itu akan tetap ada sampai kiamat sama seperti virus yg mengakibatkan dbd dengue tbc dll kemampuan pemerintah untuk memberi subsidi ada batasnya bisa berakibat kelaparan massal kekacauan sosial berarti kematian massal dimana mari kita bekerja dengan pola hidup baru,0,0,1
vaksin corona gak ada tapi tingkat kesembuhan korban covid lebih tinggi dr pd kematian dan lahirlah gagasan new normal ,0,1,0
sdh menyerah,0,0,1
siaaappp,0,1,0
pasrah artinya,0,1,0
min maaf nih klu salah benar saya ingin berpendapat dan bertanya apakah indonesia bisa melakukannya mungkin dari saya si bisa saja kebijakan new normal di laksanakan apakah bisa masyarakat indonesia melakukannya tidak saling berdesakan di moda transportasi umum khususnya krl dan moda transportasi lainnya dan apakah bisa perusahaan mikro dan makro melakukan perpanjangan waktu yang lama dari yang sudah di tetapkan di perusahaan yang bergerak mikro maupun makro untuk menaiki moda transportasi contohnya krl yang setiap jam kerja kantor dari jam itu penuh dengan desakan orang banyak dan belum lagi yang orang tanpa gejala lebih serem lagi dan belum berdesakan dan virus dimana mana apakah pemerintah dan masyarakat termasuk saya bisa menjalankan itu semua ,0,0,1
seluruh dunia dampaknya lesu ekonomi akibat pandemic semoga lekas berlalu corona dan segera di temukan vaksin covid ,1,0,0
obat yg dipesan kemarin sudah ada ,0,0,1
bkn new normal tpi dh kelewat normal aj akibat takut rugi pajak dll skrng nyerah kan klo ga sangup ngedepin pandemi jgn takut rugi pns mah enak aj ga kerja jg dpet gaji lah yg swasta gmna orng kurang mampu mkin menderita,0,0,1
pokok sekolah harus libur,1,0,0
konspirasi proyek elit agar yang diatas tetap bertahan dan dibawah tidak berputar ujung ujungnya perbudakan secara tidak langsung ,0,0,1
saya terkena dampak corona sedikitpun gak ada bantuan dr siapapun rt nya gak mau ngasih ngasih cuma sama yg di suka yg ada hubungan dekat teman saudara baru di data ,0,1,0
ya gitu dong pak kita bukan mati karena corona karena miskinb,0,1,0
terlalu dini mengambil sikap who dan lockdown jokowi tidak usah dengerin who kita punya caranya sendiri sekarang ko ikuti who huh cape dah ,1,0,0
ini bahasa lain dari herd immunity ya ,0,1,0
maksudnya kehidupan normal gimana dikira virus ini cuman flu dan batuk biasa bukan cuman usia rentan dan riwayat penyakit kronis tapi tuh tim medis yang pada gugur banyak yg sehat dan usianya masih muda tapi bisa meninggal kan ya allah,0,0,1
fe channel liat,0,1,0
militer yg kuat gak menjamin bisa mengalahkan virus ini,0,1,0
knowon paracetamol artical codec your can see me now corona adalah make on gblh google backed lightly hour google dan entertainment adalah identitas dari dajjal maka berhati hatilah dari pada nya agar tak terjebak tipuan maya dan bisa merasakan ni matnya haqiqat syari at ,0,1,0
dah nyerah ,0,1,0
ikuti saja pergembangan jangan banyak kritikan kita disni bersama saling memberi semangat untuk memaju kan indonesia maju di era new normal ini pembangunan infrastruktur pembangunan ekonomi supaya negara kita ga nora ,1,0,0
indonesia negara sosial tinggi mungkin tdk akan mudah menerapkan hal tsb,0,1,0
kenapa takut katanya org sholat tak terkena covid indonesia muslim terbsar sholat saudi arabia juga sholat tidak ada yg kena covid iut kata habib yg byk di indonesia ,0,0,1
jangan ngadel siapa mau sehat dr diri sendiri biasain diri hidup sehat ,0,1,0
herd imunity ,0,1,0
bahaya akhir jaman manusia akan ditaro chip di dahi maupun lengan,0,0,1
biar gak usah ada psbb lagi adaptasi jaga kesehatan media jangan bikin berita yg menambah ketakutan masayarakat terus biar bisa kembali normal semua aktivitas,1,0,0
gaya hidup kepala batu iya ,0,0,1
izin share di h channel,0,1,0
indonesia dah nyerah bendera warna merahnya dah disobek tinggal warna putihnya damai dengan corona,0,0,1
psbb juga dicabut dong,0,1,0
entah sampai kapan masyarakat bakalan tahan hidup di tengah pandemi dengan keadaan yg belum jelas begini secara pribadi saya sangat takut untuk kembali berbaur di tengah masyarakat pada masa sulit begini saya berharap pemerintah bener bisa memperkecil jumlah kasus corona ini baru kita kembali aktivitas di tengah masyarakt dengan gaya hidup yg baru tenaga medis yg lengkap dengan seragam apd nya masih ada yg bisa terpapar virus ini apalagi kami yg di lepas di tengah masyarakat bermodalkan masker dan kami pun tidak tau mana yg terpapar dan mana yg tidak semua kembali sibuk pada aktivitas menjaga jarak yg satu dengan yg lainnya pun akan sangat sulit huhh cukup tuhan yg tau mna yg terbaik untuk kita semoga semua selalu dalam lindungannya ,1,0,0
 ok bijak lo,0,1,0
new upnormal,0,1,0
virus corona tidak akan pernah hilang jika media dan pemerintah terus memberitakan virus corona dan menakut nakuti rakyat ,0,0,1
aktivin pa transpotasi bus penunpang di batasi,0,1,0
jadi intinya new normal with covid adalah dengan melengserkan para pejabat negara yg berumur di atas tahun dan menggantinya dgn orang orang muda yg kuat yg mempunyai daya tahan tubuh lebih kebal melawan virus corona ,0,0,1
melandai dari mana pak hr ini udh hampir org total udh rban org yg kena mau jadi apa pak indonesia ini ,0,0,1
ambyarrrrrr ,0,1,0
ekonomi indonesia lesu katanya duit negara ada triliunan di kiar negeri mana ,0,0,1
hal ini membuat orang yg semangat seberjuang menghadapi covid dan orang yg berusaha stay at home patah hati kalau sekolah dibuka apakah orang tua brani masukin anaknya sekolah ,0,1,0
hanya beberapa orang saja yg bisa menerapkan protokol kesehatan baiklah bulan lebih bertapa dirumah rasanya sia wkwkwk,0,1,0
kalo gitu jangan lagi dibahas dimana mana soal corona termasuk di tv dan youtube toh menurut data yg mati kecelakaan lbh byk kan biar si covid itu kita samain aja sm flu dan bengek biasa ,0,1,0
jadi intiny ratusan trilyun buat psbb percuma mending buat bpjs dah tuh ga usah dinaikin,0,0,1
indonesia terserah wes mboh sak karepmu kok percoyo men karo who lek prediksi virus corona nggakbakal hilang opo who kuwi gusti alloh kok isone ngomong virus corona gak ilang kalau mau virus corona hilang berdoa sama olloh agar virus corona hilang la ini kok percoyo men sama karo who presiden seng wes putus asa gampang percoyo karo who,0,1,0
sy yakin corona bkl hilang,0,1,0
ga kebayang tiap hari akan ada yang mati karena corona ,0,1,0
indonesia italy bye investor luar,0,1,0
corona tak mungkin bisa hilang hanya dengan pencegahan tp kita harus berfokus lebih kearah mencari obatnya ,1,0,0
new normal mati karepmu urip karepmu jorok karepmu resikan karepmu manut karepmu ngeyel karepmu kayaknya cocok sih diterapkan untuk sebagian masyarakat indonesia yg bebal drpd capek ngusirin mereka yg sibuk belanja di mall ,0,0,1
yg belum dapat gw pahami ni dari semenjak covid masuk diindonesia apa sich yg dimaksud kerja dirumah misalkan kerjanya kuli bangunan tu gmn cara kerjanya bosku trus kalo nguli dirumah kira siapa yg gaji ,0,1,0
media elit global,0,0,1
new normal atau new world order bahasa sebetul nya,0,1,0
baru gini aja sudah menyerah gimana kalau perang fisik beneran you guys are sucks ,0,0,1
kitanya mau berdamai pak tp coronanya gk mau damai wkwkwk,0,1,0
sebenernya ekonomi indonesia udah lemah ditambah corona tambah ambyarrrrr ,0,0,1
innalilahi kekuasaan tak berujung yg dr awal tidak pernah terbayangkan dan tak pernah diinginkan sebelumnya ,0,1,0
pspb akan segera dihapus baguslah yg penting jg kesehatan diri terus berkarya mati mah sdh ada yg ngatur bkn karena covid aja,0,0,1
harusnya dari dulu gak perlu ada lock down lock down jadi gak perlu ada yg mati kelaparan gak perlu ada yg jualan masker mahal mahal gak perlu sampe ada tragedi penolakan mausia itu pujya daya tahan tubuh yg harus di jaga dan harus di sadari jika kita kuat gak ada virus yg akan bikin kita sakit ,0,1,0
oke terserah ,0,1,0
emng seharus ny new normal dan tolong bungkam semua media yg bhs corona biar ekon g tmbh ancur,0,1,0
berarti seperti virus hiv juga yg tidak bisa hilang dan belum ada vaksinya jika virus hiv dihindari dgn penerapan gaya hidup abcd maka covid dihindari dgn gaya hidup new normal atau pakai saja singkatan stmj ok selalu cuci tangan tinggal dirumah bagi yang rentan masker jika keluar jaga jarak olah raga teratur kesehatan tetap dijaga biar gampang mengingat ,1,0,0
seandainya orang china gak ada dibumi ini mngkin kita bisa hidup nyaman,1,0,0
new normal psbb nya saja lucu tidak ada beza bagi warga tentang semua itu ,0,0,1
tenaga medis sudah bnyk yg mati tpi pemerintah malah tdk peduli lg sama corona ini namanya sengaja membunuh rakyatnya sendiri,0,0,1
ada udang di balik omonganmu pagi tempe sore tahu ora duwe isin ratu kok mencla mencle ,0,1,0
ya inilah ruginya bangun infrastrukturbgede gedean di jkt kalaunga ada skemavyg pas mentok ga kepake optimal sementara dalam penggaran negara ga ga ada skema yg pas bayar orang yg tau solusi ,0,1,0
semakin rakyat pada kelaparan gara ekonomi macet makin banyak yg kena firus karena imun tubuh menurun sudahlahlah jangan ada psbb ini itu segala normalkan kembali biar rakyat bisa cari nafkah biar perutnya kenyang tubuh sehat jiwa kuat korona jadi minggat ,1,0,0
orang bisa menyesuaikan dengan new normal orang bisa produktif dengan skema new normal tetapi bagaimana pekerja yang tidak memiliki kendaraan dan bergantung oada transportasi umum bagaimana pemerintah menyediakan tranportasi umum yang aman tetapi bisa mengakomodir seluruh pegawai di ibukota percuma kalo mengimbau jika pilihan untuk berjaga diri tidak jelas ,1,0,0
new normal itu artinya artinya gaada sholat jamaah sholat jumat di masjid lagi ,0,1,0
jangan percaya kepada who kliru percaya pada allah swt ,0,1,0
indonesia terserah ,0,1,0
orang indo mah santuy gak lama lagi juga bakalan cangkruan ketawa ketiwi gibah main bareng senyam senyum prinsip kita ribuan tahun makan gak makan asal kumpul susah seneng ttp bareng yg namanya pertemanan n kekeluargaan jalan teruuuuuuus justru dg adanya musibah ini kita semakin erat ,1,0,0
sebelum di gembor kan oleh media corona sdh ad sejalan manusia ada semua penderita yang katanya pasien corona blm tentu mati krn corona tsb ,0,0,1
who adalah kaki tangan elite global iluminati rockfeller dajjal jadi who mempropagandakan image di seluruh penduduk dunia klu virus covid tdk bisa hilang agar nanti utk memuluskan vaksin yg diproduksi bill gates utk depopulasi massal pengurangan penduduk bumi diseluruh dunia jadi skenario nya nanti stlh who mengumumkan klu virus covid tdk bisa hilang dari kehidupan dunia itu artinya propaganda agar seluruh penduduk bumi jadi menyerah utk mau divaksin dgn menanamkan microchip ketubuh setiap manusia agar mampu dikontrol oleh perusahaan kill gates elite global iluminati rockfeller dajjal utk pengurangan penduduk bumi diseluruh dunia yg direncanakan disisakan jt org sj diseluruh dunia agar segala nya mudah dikendalikan elite global iluminati,0,0,1
semoga rakyat jatim selalu dilindungi allah swt,0,1,0
smoga covid segera berakhir lenyap dari muka bumi jni amin yra ,0,1,0
ya allah cpt angkt penyakit corona aamiin x ya robbal aalamiin,0,1,0
ws talah new normal ae ora usa psbb neh ora mikir opo karo rakyat ee sg keluwen gara corona jika pandangan orang kaya si enk enk ajh kami kaum miskin ngk cari uang ngk makan ,0,0,1
semoga allah meridhoi dan merahmati usaha pemerintah dan juga rakyatnya,0,1,0
smga wabah ini sgera hilang dri indonesia jatim semangat amin,1,0,0
pemerintah ngasih himbauan tiap hari untuk memakai masker menjaga jarak dan sering cuci tangan agar korban tdk trs bertambah tp cm di nyinyirin giliran yg kena corona tambah banyak pemerintah yg di salahkan,1,0,0
tidak ada corona yg ada penyakit berita yg dibesar kan media lah corona itu ,0,1,0
data dg realita di masyarakat gk sama realita jawa timur los gak rewel,0,1,0
gabenur jawa timur ada rumah sakit tidak memandihkan mayat dan menkafankannya apakah tindakan semua pegawai sipil ,0,1,0
wabah ini tdk bisa langsung diputus mata rantainya jika tdk bersama gotong royong membantu dn komitmen disiplin bukan asal riang gembira dn terserah dikembalikan jg ke pemkot pemprov ato pemkab,1,0,0
kerja dan kerja itu yg utama yg akan buahkan hasil cek data convid jgn sampek ada yg mau main gn manfatin convid cuma demi popularitas demi tujuam pilolitik rakyat dah cukup susah ,0,1,0
warga suroboyo terlalu bar bar kelakuanya ,0,1,0
astaqfirullah a azzim sampai kapan kebohongan covid corona ini ,0,1,0
menuju new normal makin normal aja ,0,0,1
dari bulan lalu kl benar psbb di laksanakan dengan ketat dan ada kerja sama gubernur dan walikota sekarang pastinya surabaya sudah normal kembali jangan nato bro,1,0,0
doa kami semoga jatim scptnya membaik ayo bu gubernur berikan yg terbaik buat jatim,0,1,0
ampunillah segala dosa hamba m ya tobb ,0,1,0
jawa timur kebanyakan virus politik ,0,1,0
ohh my lovely bu ningsih tinampii tolong buk ning kan ibuk bisa memanggil malaikat kan panggillah malaikat nya buk ning suruh mrka membersihkn virus² ini dr indonesia sy yakin pasti bisa d lakukan bu kerna malaikat itu kn punya kuasa pasti punya powerrr bu ini masanya utk membuktikan bahwa omongan ibu selama ini adalah benar bkn hoax ,1,0,0
paling telat melawan paling dulu menyerah indonesia bisa ,0,1,0
satu kata buat ini semua lambat ,0,1,0
lho emang mall nya pernah tutup kok ujug ujug ada berita mulai buka ,0,0,1
emmmmm mboh karep karep mu yu yuuu wes istikhoroh tenan ta iku mbak khofifah piyye ,0,1,0
bondo nekat asal protokol kesehatan diterapkan dg benar insya alloh aman ,1,0,0
wkwkwkwk risma ngilang ,0,1,0
hus hus hus corona musnah kau kembalikan dunia kita yg tentram damai aman dan sentosa ,1,0,0
cara mati yg berfaedah mantap ,0,1,0
setuju dg ide bu risma gk semua org bisa mawas diri ,1,0,0
banyak makhluk di jatim yg klo ga ngemall bisa mati frustasi mungkin itu,0,1,0
privat menang pemerintah kalah hidup indo deh mntap,0,1,0
mesjid musholla gimana penerapan protokol kesehatan pak de ,0,1,0
duit nya banyak bosssss sdangkan masjid gk ad duit nya ,0,1,0
yg penting org indo mau disiplin cuci tangan haha jarakkkkkk ,0,0,1
jumlah pengunjung di batasi org tutup pintu tuliss kapasitas penuh ,0,0,1
bu risma ,0,1,0
dah lah males,0,0,1
hahh lucu melawan covid paling akhir dah nyerah salut ma pemerintah,0,1,0
mall dibuka kembali bagi yg masih mau sehat sebaiknya jangan tergiur jalan ke mall,0,0,1
risma lagi ngamuk ,0,1,0
di dalam mall suhu udara relatif lebih dingin udara pengap karena tertutup jadi kalau virus bermutasi jadi airborne bisa gawat usahakan nyemprot cairan desinfektan sediakan wastafel di depan tiap toko tapi kalau bisa lebih baik ke mall cuma buat keperluan penting aja ,1,0,0
kondiangggggggg jozzzzzzzz indonesiaku wes emboh kono ngapain mikirin corona corona ae g mikirin kita ,0,1,0
di berita tv doank yang bilang psbb di lapangan yakin banget dech masyarakat nggak peduli tinggal menghitung hari aje indonesia masuk statistik besar di dunia corona ,1,0,0
mall di surabaya ttp buka mskpn ditemukan kasus positif covid di dlmnya tidak ada kata tutup surabaya mmg hebat ,0,0,1
septi alam siapa kuat itulah yg menang,0,1,0
dahulu terdapat sebuah negeri yang tentram dan damai namun semua berubah setelah wabah virus corona menyerang ,0,1,0
semangat indonesia ku kejarlah singapura tidak ada yang tidak mungkin,0,1,0
pemerintah sangat menampung aspirasi rakyat ,0,1,0
wes mbuh karep mu lah sing penting aq ga ngemall,0,1,0
nakesnya mgkn g sempat lg mikirin kcewa kalau lsg dibuka dah kcapekan nakesnya,0,0,1
parah eeeuuuyyyyy sby,0,1,0
katanya jatim tertinggi kasusnya ko malah ,0,0,1
surabaya biasa nekad nanti kalau sekarat jerit sm pemerintah,0,1,0
negara lain udah masuk new normal kerana kasus baru yg positif convid udah mula menurun nah kasus baru yg positif di sini usah ikut ikutan lah ,0,0,1
au ahhhh sy orang sby lebih memilih aman dirumah sampai situasi lebih membaik keluar saat penting saja dng protokol kesehatan yg sdh ditentukam pemerintah ,1,0,0
indonesia akan seperti wuhan,0,1,0
dimana undang dmna hukum semua brda di bawah kaki bukti nya di sogok pakek uang jln semua,0,1,0
nyahoooook tuh surabaya tertinggi angka covid ntar ngamuk ngamuk lagi ,0,0,1
mending uang lo buat kebutuhan primer pandemi kyk gini buang duit aja,1,0,0
waduuuh kok sama yaa dgn di kota jypura mall su di buka sjk hr selasa kmrn dan penampakkan sgt ramai pdhl di kota sy ini sdg berlaku papua lock down psbb dgn jam beraktifitas dr pkl wit wit ,0,0,1
ya jgn boleh bu ibu kan punya wewenang klu emang sby msh tinggi jgn ikut ikut daerah lain di sby semua kamar rs fulll gitu,1,0,0
sengaja kali biar wong jowo pd mati diganti sama wong aseng aaah masak iyah sih ,0,1,0
mantab new wuhan ,0,0,1
kmn ini yg kmrn bela belain ibu risma pakai nangis minta mobil pcr segala lagi ,0,0,1
walah walah kok pengusaha mall ga taat aturan begitu ditegasin aja bu walikota paksa mall mall tutup dulu sebelum kasus positif covid berkurang ,0,0,1
ya udah bukak aja semua ribet,0,1,0
kene faham semua saudaraku di indonesia masker kain tidak memberikan apa faedah bila dipakai haruslah pakai masker yg bila dituang air tidak tembus baru sesuai untuk ppe dan lebih baik duduk saja dirumah seketika waktu seperti kami di sini alhamdulillah kes sudah trun kepada bilangan jd saya doakan agar allah membantu dan menyembuhkan semua rakyat indonesia yg terinfeksi moga anda semua tabah ya kesembuhan dtg dari allah dan kita cuma usahakan sahaja tapi mestilah dengan cara yang betul hope indonesia sembuh semuanya amin ,1,0,0
ya ini yg gak boleh kan masih tinggi kurvanya gpp buka yg penting warga jgn ke mall duluh ,0,1,0
keliatan gubernurnya ga ada otaknya mukanya aja bgt,0,1,0
di tempat saya malah kelihatan normal,0,0,1
paling tinggi di medsos ,0,1,0
disaat manusia sudah stres maka pilih pasrah,0,0,1
new normal pelan kondisi bakal bebas cuma warganya pake masker kalo masuk tempat umum kek mall diperiksa preeeetttt intinya bebasssss,1,0,0
gini lho intinya mall gk ingin besar ditengah pandemi bener kata bu risma bagaimana perjuangan tenaga medis mereka berusaha mencegah sini los an ae lucu jadinya bukannya g boleh dibuka tpi waktunya kurang tepat,0,0,1
tutupp woy jangn dibuka ,0,0,1
karna uang cukup uang semua bisa jadi,1,0,0
ampon surabya ini bandel ,0,0,1
gak apa apa buka aja biar kurangin jumlah penduduk indonesia,0,0,1
mank ga tutup mall nya dari awal,0,1,0
kalau mal dibuka harus bikin lubang surga yang banyak untuk jaga jaga ,0,1,0
krn sudah relaksasi psbb dari pemerintah,0,1,0
yo iki seng garai jawa timur jadi nomer ,0,0,1
aq nag omah wae orah usah tuku kelambih tuku kelambi yoo ora duwe duwekk looosss turu ng omh ,0,1,0
lama corona angkat kaki dari indonesia krn melihat orang nya ngenyel,0,1,0
aku kudu komen piye ngene iki ,1,0,0
karep mu lah cah ,0,1,0
ngak apa buka yg penting jaga jarak dan pakai masker dan berdoa aman dimulai aman dr diri sendiri corona akan tamat ,1,0,0
gimana ibu gubernurnya kok di ijinin di buka mungkin klu sata ogah blanja walaupn dah buka,0,0,1
asik mall buka aku bisa beli cd cd ku sobek semua ,0,1,0
surabaya kayak ga diurus o kemaren katanya ada ribut walkot sm gubernur bukan alesan kucing cakar cakaran lalu mengorbankan orang banyak ,0,1,0
yg jelas pemilik takut habis duit nya ga ada pemasukan ,0,0,1
mancapppp,0,1,0
biarin aja lah buka sek kna corona ben kna wong sebagian rakyate di lok e do angel presidene tok yg di salahkan kok di kampung pling di lockdown sampai hari ae antar desa do berkelahi sampai ada yg hilang kuping nya padahal lebaran hari yg fitrie yo do bentrok astoqfirullah ngelos dodo pokman otakya tuh taruh di mana dengkul ,0,0,1
ibu khofifah klu di sby sda msh tinggi ya jgn di normalkan sy yg merasakan saudara sy sakit lari ke rs semua penuh ugd penuh tlg mengerti betah susah nya klu sd kena pontang panting kalang kabut repet tes trs hrs swam semua itu jg byr kasihan warga yg sakit dan para medis,0,1,0
biarin aj mall buka kalau sudh trpapar virus kn keluarganya ikut kena kalau udh kena tinggl siapin kuburan ,0,0,1
aseeek ngurangi orang jawa lanjut buk,0,0,1
yg gw tanya kenapa masjid banyak yg di locdown tp mooll tetep aj ngeyel di buka gw tanya sejak kapan orang habis ibadah langsung di kasih sakit wabah virus ,0,1,0
demi pajak bodo amat nyawa masyarakat pada mati jga yg penting pajak masuk ke pemerintah ,0,0,1
tempat ibadah ditutup mal dibuka kan aneh,0,0,1
walikota terbaik konon katanya hahaha,0,1,0
kasih minum jamu sama nasi kucing biar ilang coronanya ,0,1,0
salah anies niee udh kaya buzzer blum gue ,0,0,1
mana nih yang ngomong jatim jadi contoh warga jabodetabek kwkwkwk in aja dah,0,1,0
hidup mati rejeki semua alloh yg menghendaki manusia cuma bisa ikhtiar usaha dan berdoa hasilnua allloh yg menentukan,1,0,0
negoro kyok ludrok kartolo cs lucu ,0,1,0
